id,prediction
0,138.57275390625
1,137.5272216796875
2,129.39404296875
3,235.65283203125
4,621.37939453125
5,1272.7628173828125
6,2051.1259765625
7,2718.19091796875
8,3184.844482421875
9,3440.67724609375
10,3394.29541015625
11,3098.176513671875
12,2542.932373046875
13,2162.837890625
14,2276.02294921875
15,1706.4820556640625
16,1216.6220703125
17,728.536376953125
18,303.1903076171875
19,60.076904296875
20,93.52880859375
21,99.999755859375
22,122.2603759765625
23,122.2103271484375
24,108.336181640625
25,109.5008544921875
26,112.7598876953125
27,324.4356689453125
28,893.145751953125
29,1510.9793701171875
30,1884.2681884765625
31,2475.32275390625
32,3141.574951171875
33,3498.26220703125
34,3642.06494140625
35,3471.010498046875
36,3286.73291015625
37,3147.7001953125
38,3038.71533203125
39,2575.49169921875
40,1901.95458984375
41,1165.982666015625
42,519.502197265625
43,47.84710693359375
44,5.08148193359375
45,47.4615478515625
46,74.5623779296875
47,82.69952392578125
48,60.35174560546875
49,66.26629638671875
50,115.9959716796875
51,420.4217529296875
52,1011.7081298828125
53,1781.81005859375
54,2597.19091796875
55,3376.593994140625
56,4022.923095703125
57,4514.5673828125
58,4717.12451171875
59,4161.4716796875
60,3526.029541015625
61,3419.80419921875
62,3019.595947265625
63,2052.830322265625
64,1279.4586181640625
65,949.3917236328125
66,546.1102294921875
67,151.44378662109375
68,24.00897216796875
69,56.486572265625
70,62.176025390625
71,37.42254638671875
72,32.6910400390625
73,48.115966796875
74,106.48065185546875
75,313.388671875
76,767.0377197265625
77,1689.1710205078125
78,2666.57080078125
79,3434.572265625
80,4017.04052734375
81,4090.592041015625
82,3584.6455078125
83,3742.321533203125
84,3179.65771484375
85,2900.32568359375
86,3242.07763671875
87,2769.27392578125
88,2166.85595703125
89,1076.6168212890625
90,302.4371337890625
91,132.56964111328125
92,11.57769775390625
93,0.0
94,5.45501708984375
95,0.0
96,94.94512939453125
97,104.675048828125
98,209.2969970703125
99,488.5489501953125
100,962.3135986328125
101,1757.4844970703125
102,2665.97412109375
103,3389.31884765625
104,4005.03125
105,4129.5380859375
106,4460.77880859375
107,4601.4345703125
108,4558.3896484375
109,4080.08447265625
110,3647.73095703125
111,2915.875
112,2102.720703125
113,1273.8541259765625
114,532.4783935546875
115,166.373779296875
116,47.9696044921875
117,56.81536865234375
118,77.88397216796875
119,76.3470458984375
120,95.87274169921875
121,137.7664794921875
122,236.1151123046875
123,568.845458984375
124,1208.45263671875
125,2002.4056396484375
126,2810.456787109375
127,3499.884765625
128,3732.408203125
129,3507.78955078125
130,3310.5078125
131,3154.7509765625
132,3046.52685546875
133,3043.66259765625
134,3147.00927734375
135,2700.435546875
136,1744.3629150390625
137,1094.2529296875
138,662.7464599609375
139,251.711669921875
140,64.72027587890625
141,50.44744873046875
142,95.57281494140625
143,127.3310546875
144,141.3302001953125
145,152.7974853515625
146,260.1356201171875
147,590.995849609375
148,1207.933349609375
149,1981.2725830078125
150,2774.60205078125
151,3509.53125
152,4129.5517578125
153,4423.6875
154,4021.716064453125
155,3779.97265625
156,3558.6943359375
157,3226.332275390625
158,3200.55078125
159,2496.97607421875
160,1644.849609375
161,1116.0228271484375
162,559.7451171875
163,139.0263671875
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,92.46563720703125
172,191.7259521484375
173,359.255126953125
174,547.5123291015625
175,749.4044189453125
176,975.9771728515625
177,1150.6072998046875
178,1285.6483154296875
179,1630.4749755859375
180,1888.064697265625
181,2450.17626953125
182,1831.5108642578125
183,1887.14208984375
184,1465.1282958984375
185,870.0380859375
186,448.450927734375
187,241.6971435546875
188,127.520751953125
189,165.74365234375
190,174.6240234375
191,139.5361328125
192,40.47442626953125
193,55.88189697265625
194,132.7008056640625
195,292.208984375
196,546.154052734375
197,748.048828125
198,1478.754150390625
199,2402.763671875
200,2893.1005859375
201,2807.62646484375
202,3108.908203125
203,3249.3623046875
204,3127.486572265625
205,2774.32080078125
206,2659.658447265625
207,2141.91748046875
208,917.89599609375
209,488.34423828125
210,254.150146484375
211,74.80645751953125
212,29.6529541015625
213,18.87091064453125
214,24.6064453125
215,0.0
216,119.92236328125
217,132.733154296875
218,196.022705078125
219,314.3494873046875
220,419.6295166015625
221,617.71435546875
222,878.0548095703125
223,1179.583984375
224,1810.42333984375
225,1674.8160400390625
226,1419.61669921875
227,1558.088134765625
228,1257.2330322265625
229,1136.5028076171875
230,985.9033203125
231,897.7255859375
232,567.0093994140625
233,355.91357421875
234,225.69287109375
235,0.0
236,0.0
237,15.0391845703125
238,84.44659423828125
239,40.4600830078125
240,0.0
241,0.0
242,54.8299560546875
243,197.5098876953125
244,410.128662109375
245,863.0943603515625
246,1512.7913818359375
247,2525.55419921875
248,2672.109375
249,1423.005126953125
250,1269.952392578125
251,1926.4776611328125
252,1786.876708984375
253,1526.435546875
254,1378.90576171875
255,1666.833984375
256,1622.67822265625
257,1090.46630859375
258,658.565185546875
259,212.756103515625
260,41.11285400390625
261,27.9827880859375
262,105.72174072265625
263,138.8966064453125
264,0.0
265,0.0
266,86.97314453125
267,297.380615234375
268,586.65966796875
269,1031.4114990234375
270,1500.9405517578125
271,1849.2269287109375
272,2142.115234375
273,2183.59375
274,1759.8736572265625
275,2047.2357177734375
276,2157.75341796875
277,1692.8240966796875
278,1584.0931396484375
279,1426.900634765625
280,837.68212890625
281,435.1954345703125
282,207.6282958984375
283,25.80194091796875
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,103.8414306640625
291,242.5587158203125
292,488.5760498046875
293,932.839599609375
294,1728.6378173828125
295,1737.9793701171875
296,1437.123291015625
297,2064.918701171875
298,2670.78955078125
299,2401.42578125
300,1608.7596435546875
301,1526.30517578125
302,1349.24169921875
303,1192.960205078125
304,809.3204345703125
305,643.2152099609375
306,413.34619140625
307,148.31768798828125
308,40.5606689453125
309,0.0
310,0.0
311,0.0
312,0.0
313,9.777099609375
314,142.242919921875
315,365.4210205078125
316,835.5738525390625
317,1311.282958984375
318,1735.043212890625
319,1773.0181884765625
320,2454.3408203125
321,2662.13720703125
322,2507.35693359375
323,2236.5126953125
324,1730.5350341796875
325,1386.741943359375
326,1075.7645263671875
327,799.62646484375
328,691.874755859375
329,482.1417236328125
330,305.888671875
331,182.30419921875
332,84.29986572265625
333,40.552978515625
334,40.20672607421875
335,9.0823974609375
336,18.0938720703125
337,46.87945556640625
338,107.24493408203125
339,194.1790771484375
340,434.0162353515625
341,790.0872802734375
342,964.925048828125
343,1089.685302734375
344,1286.7674560546875
345,1479.06494140625
346,1492.048095703125
347,1507.864501953125
348,1374.58154296875
349,1249.545166015625
350,1096.919921875
351,987.341064453125
352,722.0526123046875
353,452.3104248046875
354,214.2755126953125
355,99.04583740234375
356,3.89556884765625
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,86.030029296875
363,264.4412841796875
364,508.7193603515625
365,735.0296630859375
366,941.3739013671875
367,1240.1639404296875
368,1657.1387939453125
369,1951.5947265625
370,1833.064208984375
371,1820.1365966796875
372,1899.4288330078125
373,1495.72705078125
374,1139.510986328125
375,1042.956787109375
376,831.252685546875
377,862.9779052734375
378,466.0850830078125
379,110.25177001953125
380,22.86065673828125
381,0.0
382,16.33795166015625
383,0.0
384,13.49285888671875
385,24.03424072265625
386,130.43035888671875
387,272.7281494140625
388,468.235107421875
389,653.1702880859375
390,750.0870361328125
391,931.2069091796875
392,1055.0252685546875
393,1245.7696533203125
